cluster_id,n_events,magnitude_W_mean,magnitude_W_ci_lo,magnitude_W_ci_hi,pf_appliance_mean,pf_appliance_ci_lo,pf_appliance_ci_hi,inrush_ratio_mean,inrush_ratio_ci_lo,inrush_ratio_ci_hi,N_ratio_post_mean,N_ratio_post_ci_lo,N_ratio_post_ci_hi,reactive_frac_mean,reactive_frac_ci_lo,reactive_frac_ci_hi,phase_balance_mean,phase_balance_ci_lo,phase_balance_ci_hi,dominant_phase,phase_purity,pct_ON,pct_OFF,duration_mean_s,duration_median_s,n_meters,meters,appliance_label
19,87,6925.929808641154,6273.540509338965,7596.4774114298625,-0.9983703653182877,-0.9993868112505939,-0.9968880346366293,4.584129662464257,4.257009131994941,4.863226263932096,0.21418589419324308,0.19809298140161707,0.23649916025913129,0.023893539197258645,0.02039300026932086,0.02847088719921826,0.9925610346244264,0.9891761961921607,0.9944235101038976,THREE_PHASE,1.0,0.0,1.0,,,2,"Meter-M240320D0004,Meter-M240720D0001",LARGE_3PH_MOTOR_DOL
2,86,6891.361588920178,6294.1796611366,7590.437593180338,-1.0,-1.0,-1.0,1.1660037612156748,1.1406502137072525,1.1882807082227245,0.7791899715577167,0.7358222086801499,0.8260117233660992,0.04446528254830373,0.037279296295369864,0.04987798908771923,0.9386332852961001,0.9259819131287864,0.9507831802178082,THREE_PHASE,1.0,0.0,1.0,,,2,"Meter-M240216D0002,Meter-M240627D0001",MIXED_UNCLASSIFIED
7,78,751.283724852301,678.3358373383528,815.0008289338176,0.9982822547767671,0.9970104306115074,0.9993164817967364,1.3245774038624265,1.276248398501911,1.3742824272296255,0.46490826235856214,0.37214028017407946,0.557012097976803,0.06901889985669518,0.06230746965208489,0.07446745370521766,-0.23617949995672297,-0.2690892778842563,-0.1993553606833582,SINGLE_B,1.0,1.0,0.0,,,1,Meter-M240318D0003,MIXED_UNCLASSIFIED
6,72,577.7314196262095,496.7724832956823,649.3241013552083,-0.9987442147138572,-0.9997351708901187,-0.9976351176879795,6.644943047653683,6.260569720554549,7.012277488477638,2.4927462785334615,2.14993780796009,2.8016059310175354,0.07591458713040845,0.07075789647182573,0.08299633776826713,-0.3390977960157601,-0.36736772735852663,-0.30071627805548223,SINGLE_B,1.0,0.0,1.0,,,1,Meter-M240318D0003,SINGLE_PH_MOTOR_FAN
26,68,3965.7788843940302,3476.583678353628,4462.832640581692,0.9997037769891907,0.9991946006103581,1.0,1.0294941413062317,1.0162325768723304,1.0442307111278997,1.4721869820822684,1.3439161794494212,1.5846546245108826,0.04015535871556458,0.03335094843994611,0.04776671224774031,-0.3747397448352542,-0.38883229199478386,-0.3572081604145364,SINGLE_B,1.0,1.0,0.0,,,11,"Meter-M240702D0002,Meter-M241210D0004,Meter-M241220D0001,Meter-M241220D0003,Meter-M241221D0012,Meter-M250106D0002,Meter-M250510D0006,Meter-M250510D0008,Meter-M250522D0002,Meter-M260131D0001,Meter-M260207D0007",SWITCHING_PSU_UPS
10,60,2188.517141927083,1874.0273197428382,2506.637658067491,-0.9134827649392023,-0.9294654974122535,-0.9002330926439243,1.053262869203757,1.0383737591074973,1.0693573928698668,0.6964689939714636,0.6805828867385574,0.7122909534971609,0.41083243721193463,0.40306305707064727,0.41945094986009795,0.7807544775421716,0.7673235627782635,0.7946168092064239,THREE_PHASE,0.9666666666666667,0.0,1.0,,,1,Meter-M240320D0003,MIXED_UNCLASSIFIED
23,53,188.26070656446527,165.7577878306644,215.6703313805919,-0.8054388920744413,-0.825313557007316,-0.78607517514257,1.113105628766897,1.0908527932675662,1.1349196519573546,0.44140281779838525,0.2377796457713907,0.6429083937078587,0.43926398256747357,0.43208504737041564,0.44665026480639375,-0.22874189493197944,-0.2720185206050007,-0.1808824600459615,SINGLE_B,0.9811320754716981,0.0,1.0,,,13,"Meter-M240216D0002,Meter-M240216D0005,Meter-M240425D0001,Meter-M240517D0001,Meter-M240627D0001,Meter-M240702D0001,Meter-M240702D0002,Meter-M240719D0001,Meter-M241220D0003,Meter-M241221D0041,Meter-M241224D0003,Meter-M241224D0006,Meter-M260207D0004",MIXED_UNCLASSIFIED
11,51,2316.1335605596405,2055.3675699231517,2606.7730723741324,-0.9071686777896982,-0.9192779102727209,-0.8963246542549436,1.1777131119667974,1.1653376371078572,1.190783050089299,0.7052583037659147,0.6920396414364142,0.7233553734979478,0.4152470424033926,0.4096692089218828,0.42039802487564687,0.785187563954158,0.7718860381662733,0.7967996975868321,THREE_PHASE,0.9803921568627451,0.0,1.0,,,1,Meter-M240320D0003,MIXED_UNCLASSIFIED
17,51,199.1073448243484,184.89041906842994,216.66132122635062,-0.49950607436884636,-0.5086663006945736,-0.4890997767509553,1.797647924289207,1.751230244485335,1.842207002820235,1.1983385189393416,1.1624284943415486,1.233845115338982,0.6382379402933469,0.6320656479778424,0.6444130821296087,0.9494604501996705,0.9427974990468218,0.9555021243706052,THREE_PHASE,1.0,0.0,1.0,,,1,Meter-M240320D0004,HEAVY_INDUCTIVE_LOW_PF
29,47,701.8104497273762,598.2094187667523,803.9342491331169,0.9991822117066593,0.9969515660665758,1.0,1.1137755682065795,1.0806118058453535,1.145925722580165,1.9384801354097787,1.6630311611526003,2.2484888282638833,0.02940313566966595,0.025667121818729974,0.03386991266687283,-0.3771250826948387,-0.3934311727335309,-0.3549315444227822,SINGLE_C,1.0,1.0,0.0,,,11,"Meter-M241210D0001,Meter-M241210D0007,Meter-M241220D0004,Meter-M241220D0005,Meter-M241221D0034,Meter-M241221D0035,Meter-M241221D0037,Meter-M241221D0039,Meter-M241224D0005,Meter-M250522D0002,Meter-M250915D0001",SWITCHING_PSU_UPS
18,42,3962.0838238413376,3552.8059325826357,4354.027392890984,0.9969152856082838,0.9922762428083343,0.9995308427259246,4.318845046992185,3.9803365803537893,4.691853617242141,0.205150583620637,0.19038757504755108,0.22246969256908578,0.03745149622777163,0.027137794445130405,0.04912340043781456,0.9938672311447138,0.9930257519458645,0.9947250946634012,THREE_PHASE,1.0,1.0,0.0,,,1,Meter-M240320D0004,SMALL_3PH_MOTOR_DOL
12,38,7926.3272859222,6372.075144005532,9478.61020463772,0.994399787744272,0.9897168964789479,0.9980679326941773,0.5048043068011544,0.5,0.5144129204034633,0.1534418915896735,0.12945252427872553,0.18054088470625101,0.041285438081036185,0.032659020074207935,0.050084700229612956,0.9904419259564747,0.9867421968133175,0.9930791044626949,THREE_PHASE,1.0,1.0,0.0,,,1,Meter-M240320D0004,LARGE_HEATER_OVEN
28,33,2253.392469741359,1838.463249650435,2658.492483911996,1.0,1.0,1.0,1.1325372329924648,1.1012500526951365,1.1642952159957143,1.7007182690543392,1.4775844503968332,1.8942864888838886,0.0361906133298658,0.030002080672971058,0.043061110027115754,-0.3908422696604501,-0.4005949745530651,-0.3795804052395078,SINGLE_B,1.0,1.0,0.0,,,7,"Meter-M240702D0002,Meter-M241210D0004,Meter-M241220D0003,Meter-M241221D0012,Meter-M250522D0002,Meter-M260131D0001,Meter-M260207D0007",SWITCHING_PSU_UPS
8,32,542.9664093494415,472.57480180005234,633.1937240979075,-0.995658560841638,-0.9991617138186203,-0.991260782130702,6.359028335912204,5.724719602696096,6.969775642812572,2.619035914788786,2.0926086924944043,3.1684253007764624,0.08287332624380628,0.0769309205929529,0.08872470430308321,-0.28845308737377606,-0.3341518386697465,-0.23094637103252108,SINGLE_A,1.0,0.0,1.0,,,1,Meter-M240318D0003,SINGLE_PH_MOTOR_FAN
22,31,221.0584429874215,189.49883872437223,250.87640544091502,0.5028644464438178,0.48111060199201927,0.5286103624909473,5.056371820123304,4.70783491411882,5.50015913878716,0.8183121866496138,0.739300387311455,0.9147605695910146,0.6422692383191753,0.6228535653125856,0.6619553989889162,0.9331280625826622,0.9170375615939578,0.9470944867337732,THREE_PHASE,1.0,1.0,0.0,,,1,Meter-M240320D0004,SMALL_3PH_MOTOR_DOL
24,29,191.13084829045437,159.0700218358534,237.1135712546863,0.5595140253142946,0.4134545568057334,0.6958906839595808,1.0715921592116917,1.0473276203282205,1.1055689894743697,0.5054216364222952,0.2994725302721407,0.6982755023221849,0.5742340299163461,0.5637922759074928,0.5870898012341412,-0.13784167518725027,-0.18628609733090853,-0.08608576526710611,SINGLE_A,1.0,0.896551724137931,0.10344827586206896,,,12,"Meter-M240216D0002,Meter-M240319D0007,Meter-M240425D0001,Meter-M240517D0001,Meter-M240627D0001,Meter-M240702D0002,Meter-M240719D0001,Meter-M241220D0003,Meter-M241222D0006,Meter-M241224D0003,Meter-M241224D0008,Meter-M250510D0003",HEAVY_INDUCTIVE_LOW_PF
27,27,145.40398552035134,125.33712070041285,165.4579775812597,0.9700054458621545,0.9514066820215538,0.9841531685888522,1.0582980755163722,1.040223145143543,1.0771008608033574,0.8521704017949594,0.536627384406435,1.1144074989789567,0.2533752474694434,0.24019046473396732,0.26530009775485736,0.020316751204497278,-0.04218061984875571,0.07022424394769979,SINGLE_B,0.9259259259259259,1.0,0.0,,,11,"Meter-M240216D0002,Meter-M240216D0005,Meter-M240425D0001,Meter-M240517D0001,Meter-M240627D0001,Meter-M240702D0001,Meter-M240702D0002,Meter-M240719D0001,Meter-M241220D0003,Meter-M241221D0019,Meter-M260207D0004",SWITCHING_PSU_UPS
